2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download] Destination: C:\Users\ak252\OneDrive\Documents\ClipForge AI\data\downloads\27ed4c3f-0d02-4923-b820-a2b4b273184f\mNcEHwRysnc.f398.mp4
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.0% of   69.76MiB at  514.83KiB/s ETA 02:19
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.0% of   69.76MiB at    1.22MiB/s ETA 00:57
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.0% of   69.76MiB at    2.63MiB/s ETA 00:26
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.0% of   69.76MiB at    5.29MiB/s ETA 00:13
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.0% of   69.76MiB at    1.04MiB/s ETA 01:07
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.1% of   69.76MiB at    1.26MiB/s ETA 00:55
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.2% of   69.76MiB at    1.64MiB/s ETA 00:42
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.4% of   69.76MiB at    2.42MiB/s ETA 00:28
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   0.7% of   69.76MiB at    3.46MiB/s ETA 00:20
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   1.4% of   69.76MiB at    5.10MiB/s ETA 00:13
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   2.9% of   69.76MiB at    7.21MiB/s ETA 00:09
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]   5.7% of   69.76MiB at   11.20MiB/s ETA 00:05
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  11.5% of   69.76MiB at   16.62MiB/s ETA 00:03
2026-08-28 16:02:48 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.8% of   69.76MiB at   18.69MiB/s ETA 00:03
2026-08-28 16:02:49 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  13.8% of   69.76MiB at  145.52KiB/s ETA 07:03
